Mood,Bipolar Stage,Recommended Activities,Activity Description,Activity Type,Duration (minutes),Gender,Age Range,Image URL
Angry,Euthymia,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20M.webp?alt=media
Angry,Depression,Meditate,Simple body stretches to ease physical and mental tension.,physical,20,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Meditate%20F.webp?alt=media
Angry,Mania,Gardening,Plant and tend to plants to enjoy nature and reduce stress.,physical,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gardening%20F.webp?alt=media
Happy,Mania,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20M.webp?alt=media
Happy,Depression,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
Fear,Mixed Episodes,Listening to uplifting music,"Listen to positive, energetic music to lift your mood.",happiness,20,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listening%20to%20uplifting%20music%20M.webp?alt=media
Fear,Mania,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20M.webp?alt=media
Angry,Mixed Episodes,Meditate,Simple body stretches to ease physical and mental tension.,physical,20,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Meditate%20F.webp?alt=media
Angry,Hypomania,Light exercise,Write down things you're grateful for to shift perspective.,physical,30,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20F.webp?alt=media
Sad,Mania,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20M.webp?alt=media
Sad,Mania,Meditate,"Sit quietly, focus on your breath, and clear your mind.",routine,20,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Meditate%20F.webp?alt=media
Irritable,Hypomania,Taking a Warm Bath,Soak in warm water to relax your muscles and calm your mind.,happiness,15,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Taking%20a%20Warm%20Bath%20F.webp?alt=media
Anxious,Mania,Cooking,Engage in preparing food as a relaxing and creative activity.,happiness,45,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Cooking%20M.webp?alt=media
Irritable,Euthymia,Gentle yoga,Listen to or play music that suits or changes your mood.,physical,45,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gentle%20yoga%20F.webp?alt=media
Neutral,Mania,Gardening,Plant and tend to plants to enjoy nature and reduce stress.,physical,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gardening%20F.webp?alt=media
Surprise,Mixed Episodes,Taking a Warm Bath,Soak in warm water to relax your muscles and calm your mind.,happiness,15,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Taking%20a%20Warm%20Bath%20M.webp?alt=media
Calm,Mixed Episodes,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20M.webp?alt=media
Angry,Euthymia,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
Calm,Depression,Light exercise,Write down things you're grateful for to shift perspective.,physical,30,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20F.webp?alt=media
Anxious,Mania,Light exercise,Write down things you're grateful for to shift perspective.,physical,30,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20F.webp?alt=media
Calm,Euthymia,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20M.webp?alt=media
